song_name,danceability,acousticness,energy,liveness,valence,loudness,speechiness,tempo,key,time_signature,mode,mood
Aaj Ke Baad Reprise,0.278,0.656,0.731,0.155,0.366,-6.04,0.0658,175.89,0,3,1,Relaxed Sad
Aaj Ke Baad Satyaprem Ki Katha,0.483,0.48,0.608,0.1,0.29,-6.109,0.0313,86.933,0,3,1,Relaxed Sad
Aaj Ke Baad,0.483,0.48,0.608,0.1,0.29,-6.109,0.0313,86.933,0,3,1,Relaxed Sad
Ammiye,0.37,0.809,0.521,0.0897,0.415,-9.621,0.0964,81.505,2,4,1,Relaxed Sad
Andhere Mein,0.697,0.273,0.468,0.231,0.234,-8.936,0.0356,122.026,0,4,1,Relaxed Sad
Aradhya,0.608,0.642,0.73,0.0994,0.378,-5.687,0.0358,107.962,2,4,1,Relaxed Sad
Aye Zindagi,0.369,0.57,0.39,0.177,0.428,-8.315,0.0429,159.255,6,4,0,Relaxed Sad
Baari Barsi,0.668,0.105,0.596,0.318,0.786,-10.061,0.204,109.947,1,4,0,Energized
Bandishen,0.802,0.515,0.42,0.499,0.464,-11.929,0.0567,120.014,0,4,1,Relaxed Happy
Besuri Main,0.391,0.807,0.285,0.0801,0.137,-11.064,0.0461,114.887,10,4,1,Relaxed Sad
Bhartaar Sumit Goswami,0.896,0.0805,0.818,0.263,0.936,-3.531,0.0471,114.983,11,4,0,Energized
Bombay Sumit Goswami,0.782,0.0477,0.867,0.0624,0.52,-2.93,0.0375,99.985,10,4,1,Energized
Chanda Mama,0.748,0.21,0.767,0.342,0.96,-6.219,0.0291,112.045,4,4,1,Relaxed Sad
Chhuppan Chhuppai,0.687,0.0441,0.813,0.0784,0.854,-7.198,0.067,153.968,4,4,1,Energized
Chora Gaam Ka Sumit Goswami,0.658,0.0703,0.711,0.0974,0.539,-4.847,0.167,173.53,2,4,0,Relaxed Happy
Chum Chum Rakheya B Praak,0.654,0.141,0.799,0.167,0.419,-4.211,0.0595,89.946,5,4,0,Relaxed Happy
Chum Chum Rakheya Oye Makhna,0.654,0.141,0.799,0.167,0.419,-4.211,0.0595,89.946,5,4,0,Relaxed Happy
Dark Days,0.604,0.109,0.655,0.125,0.59,-7.088,0.0273,115.038,9,4,1,Bathing
Dastaan,0.552,0.479,0.598,0.0806,0.354,-6.052,0.0362,135.951,9,4,0,Relaxed Happy
Deewani Sachet Tandon,0.559,0.476,0.762,0.0843,0.662,-4.337,0.032,108.012,10,4,1,Relaxed Happy
Dhappa,0.589,0.234,0.915,0.0977,0.87,-3.229,0.262,164.027,1,4,1,Energized
Dheere,0.73,0.0399,0.58,0.0703,0.55,-7.976,0.124,167.915,0,4,1,Relaxed Happy
Dhindhora Baje Re Rocky Aur Rani Kii Prem Kahaani,0.679,0.219,0.883,0.165,0.726,-6.281,0.112,128.004,9,4,0,Energized
Dhindhora Baje Re,0.679,0.219,0.883,0.165,0.726,-6.281,0.112,128.004,9,4,0,Energized
Dil Bechara Neha Kakkar,0.647,0.544,0.65,0.207,0.379,-8.482,0.283,89.839,7,4,0,Relaxed Sad
Dil Se Dil Tak Bawaal,0.382,0.854,0.5,0.166,0.232,-6.154,0.037,111.927,3,4,1,Relaxed Sad
Dil Se Dil Tak,0.382,0.854,0.5,0.166,0.232,-6.154,0.037,111.927,3,4,1,Relaxed Sad
Dilon Ki Doriyan Bawaal,0.657,0.19,0.823,0.11,0.654,-5.575,0.0859,104.032,8,4,1,Relaxed Happy
Dilon Ki Doriyan,0.657,0.19,0.823,0.11,0.654,-5.575,0.0859,104.032,8,4,1,Relaxed Happy
Ek Tu Hi Hai Stebin Ben,0.669,0.556,0.534,0.105,0.377,-8.98,0.0308,94.01,0,4,1,Relaxed Sad
Farebi,0.427,0.697,0.594,0.206,0.274,-5.498,0.0279,179.952,0,3,0,Focused
Farishtey B Praak,0.616,0.488,0.695,0.11,0.603,-6.301,0.0675,98.169,9,4,0,Relaxed Happy
Gole Male,0.69,0.67,0.734,0.127,0.483,-4.862,0.0402,146.951,8,3,1,Relaxed Happy
Gujju Pataka Satyaprem Ki Katha,0.466,0.0332,0.759,0.0693,0.453,-7.107,0.189,137.022,7,4,1,Energized
Gujju Pataka,0.466,0.0332,0.759,0.0693,0.453,-7.107,0.189,137.022,7,4,1,Energized
Herail Ba,0.68,0.831,0.372,0.14,0.639,-8.057,0.0454,123.935,10,4,1,Relaxed Sad
Hope,0.592,0.661,0.457,0.146,0.225,-6.081,0.0603,146.04,9,4,0,Bathing
Hostel Life Khasa Aala Chahar,0.791,0.234,0.825,0.212,0.95,-3.349,0.0362,95.968,0,4,1,Relaxed Happy
Huppa Huiya,0.483,0.684,0.786,0.122,0.423,-6.983,0.318,165.113,1,4,1,Energized
Intezaar Tha,0.605,0.601,0.366,0.102,0.691,-9.467,0.0369,114.845,6,4,1,Relaxed Sad
